Genre,SubGenre,SubSubGenre,SubSubSubGenre
World,Asia,Kayōkyoku,
World,Asia,Korean Pop,
World,Asia,Liwa,
World,Asia,Mandopop,
World,Asia,Onkyokei,
World,Asia,Taiwanese Pop,
World,Asia,T-Pop (Thai pop),
World,Asia,Sawt,
World,Australia,,
World,Cajun,,
World,Calypso,,
World,Caribbean,Chutney,
World,Caribbean,Chutney Soca,
World,Caribbean,Compas,
World,Caribbean,Mambo,
World,Caribbean,Merengue,
World,Caribbean,Méringue,
World,Carnatic (Karnataka Sanghetha),,
World,Celtic,,
World,Celtic Folk,,
World,Contemporary Celtic,,
World,Coupé-décalé – Congo,,
World,Dangdut,,
World,Drinking Songs,,
World,Drone,,
World,"Europe – Portugal: Fado music is a form of Portuguese singing that is often associated with pubs, cafés, and restaurants.",,
World,"Europe – Greece: Laiko, Entechno, Rebetika",,
World,Europe – Germany / Austria / Sweden / UK: Schlager (varies by country),,
World,France,,
World,Hawaii,,
World,Japan,,
World,Klezmer,,
World,Mbalax – Senegal,,
World,Middle East,,
World,North America,,
World,Ode,,
World,Piphat – Thailand,,
World,Polka,,
World,Soca,,
World,South Africa,,
World,South America,,
World,South / Southeast Asia,Baila,
World,South / Southeast Asia,Bhangra,
World,South / Southeast Asia,Bhojpuri,
World,South / Southeast Asia,Dangdut,
World,South / Southeast Asia,Filmi,
World,South / Southeast Asia,Indian Pop,
World,South / Southeast Asia,Hindustani,
World,South / Southeast Asia,Indian Ghazal,
World,South / Southeast Asia,Lavani,
World,South / Southeast Asia,Luk Thung,
World,South / Southeast Asia,Luk Krung,
World,South / Southeast Asia,Manila Sound,
World,South / Southeast Asia,Morlam,
World,South / Southeast Asia,Pinoy Pop,
World,South / Southeast Asia,Pop Sunda,
World,South / Southeast Asia,Ragini,
World,South / Southeast Asia,Thai Pop,
World,Traditional Celtic,,
World,Worldbeat,,
World,Zydeco,,
